rec_id,driver_id,T,a,b,v0,v_average
1,11,0.5,0.1,5.0,41.667,24.786
1,27,0.5,0.124,5.0,34.776,24.737
1,48,5.0,0.499,0.1,41.667,33.506
1,56,4.788,0.945,0.101,29.452,27.6
1,60,0.5,2.612,5.0,41.667,32.175
1,79,0.5,5.0,5.0,41.667,30.007
1,89,2.057,0.81,0.814,41.667,37.262
1,97,0.5,5.0,5.0,41.667,36.767
1,99,1.039,5.0,5.0,41.667,35.03
1,108,0.535,1.406,3.937,41.445,37.816
1,119,2.801,0.1,5.0,41.667,30.43
1,126,0.5,5.0,5.0,44.888,40.352
1,135,2.072,4.891,0.887,42.861,40.336
1,143,2.546,5.0,2.415,34.809,33.244
1,155,4.284,5.0,0.71,41.667,34.225
1,168,1.23,5.0,0.129,41.667,36.261
1,188,1.027,1.184,0.926,41.379,30.605
1,228,0.968,5.0,3.481,41.667,27.042
1,254,1.57,1.42,4.597,38.051,23.511
1,261,0.5,0.1,5.0,40.983,24.483
1,265,0.738,1.581,5.0,35.666,24.787
1,277,2.57,2.593,4.038,38.386,32.111
1,295,1.524,1.733,5.0,29.809,22.348
1,309,0.876,1.987,4.721,35.216,29.379
1,314,0.5,5.0,5.0,38.472,26.134
1,319,0.919,0.797,4.87,33.138,27.932
1,329,0.5,0.1,2.448,32.64,24.897
1,378,4.98,0.1,0.143,35.595,32.738
1,379,1.087,0.629,4.331,35.859,26.281
1,386,0.5,5.0,5.0,43.082,39.52
1,400,0.571,0.1,4.79,34.82,32.486
1,419,0.5,0.1,1.125,41.667,30.641
1,424,1.413,1.615,4.646,29.12,23.574
1,439,0.5,0.1,5.0,37.376,29.307
1,442,1.443,1.042,4.758,40.488,29.897
1,448,2.381,5.0,0.195,41.937,39.793
1,451,2.082,0.16,1.703,36.485,26.97
1,472,0.5,3.367,5.0,41.667,33.654
1,476,4.505,1.266,3.276,41.667,25.351
1,482,0.849,0.423,5.0,41.631,24.48
1,484,0.5,4.803,5.0,41.248,27.301
1,497,0.5,5.0,5.0,39.754,29.701
1,518,0.97,1.52,4.89,39.402,28.081
1,539,2.118,0.833,1.733,37.128,32.269
1,547,0.929,5.0,5.0,41.667,27.29
1,558,5.0,3.008,0.1,30.79,29.856
1,574,1.357,5.0,2.918,38.408,37.376
1,580,4.432,0.1,0.819,38.245,34.576
1,583,3.8,1.113,0.793,41.667,28.482
1,584,4.972,0.1,0.297,39.094,27.684
1,601,2.127,2.08,0.209,37.684,33.504
1,603,0.5,0.1,5.0,41.667,33.884
1,613,1.721,0.171,4.326,32.806,22.179
1,632,1.141,1.39,2.653,26.124,24.124
1,641,0.622,5.0,5.0,41.667,32.298
1,651,0.501,5.0,5.0,41.667,26.899
1,652,0.5,5.0,5.0,41.667,33.021
1,679,1.417,3.367,4.871,41.182,31.822
1,692,1.416,0.581,1.733,41.617,31.374
1,698,2.203,1.509,4.526,39.163,25.981
1,699,0.677,0.244,5.0,33.841,30.503
1,715,0.62,1.733,5.0,41.667,34.122
1,718,0.5,5.0,5.0,41.667,32.868
1,728,1.036,0.1,2.74,40.036,33.155
1,731,0.811,4.312,0.288,42.163,40.056
1,736,0.5,0.1,5.0,41.667,36.81
1,739,3.836,1.284,4.403,28.749,26.823
1,745,1.761,2.353,4.818,41.667,33.008
1,762,0.5,0.1,5.0,41.667,34.896
1,783,1.465,0.1,0.1,36.15,32.875
1,791,2.338,1.013,0.892,40.527,33.043
1,799,0.893,1.56,0.149,41.319,37.0
1,803,0.541,0.313,3.611,40.568,35.505
