recId,driverId,frame,precedingId,precedingXVelocity,v,delta_v,s,idm_ga,idm_mle,idm_de,s_star_ga,s_star_mle,s_star_de,XAcceleration
1,11,1,10,23.21,25.07,1.86,15.67,-0.8323,-0.8323,-0.8323,47.5075,47.5075,47.5075,-0.29
1,11,2,10,23.21,25.06,1.85,15.65,-0.827,-0.827,-0.827,47.3122,47.3122,47.3122,-0.29
1,11,3,10,23.22,25.05,1.83,15.62,-0.8161,-0.8161,-0.8161,46.9398,46.9398,46.9398,-0.29
1,11,4,10,23.23,25.03,1.8,15.55,-0.8024,-0.8024,-0.8024,46.373,46.373,46.373,-0.29
1,11,5,10,23.23,25.02,1.79,15.49,-0.8017,-0.8017,-0.8017,46.1783,46.1783,46.1783,-0.29
1,11,6,10,23.24,25.01,1.77,15.44,-0.7932,-0.7932,-0.7932,45.807,45.807,45.807,-0.28
1,11,7,10,23.25,25.0,1.75,15.36,-0.788,-0.788,-0.788,45.4359,45.4359,45.4359,-0.28
1,11,8,10,23.26,24.99,1.73,15.29,-0.7816,-0.7816,-0.7816,45.0651,45.0651,45.0651,-0.28
1,11,9,10,23.26,24.98,1.72,15.24,-0.7798,-0.7798,-0.7798,44.8713,44.8713,44.8713,-0.28
1,11,10,10,23.27,24.97,1.7,15.18,-0.7723,-0.7723,-0.7723,44.501,44.501,44.501,-0.28
1,11,11,10,23.28,24.96,1.68,15.13,-0.7636,-0.7636,-0.7636,44.131,44.131,44.131,-0.27
1,11,12,10,23.28,24.94,1.66,15.07,-0.7554,-0.7554,-0.7554,43.7445,43.7445,43.7445,-0.27
1,11,13,10,23.29,24.93,1.64,15.01,-0.7479,-0.7479,-0.7479,43.3752,43.3752,43.3752,-0.27
1,11,14,10,23.3,24.92,1.62,14.94,-0.7414,-0.7414,-0.7414,43.0062,43.0062,43.0062,-0.27
1,11,15,10,23.3,24.91,1.61,14.88,-0.7406,-0.7406,-0.7406,42.8136,42.8136,42.8136,-0.27
1,11,16,10,23.31,24.9,1.59,14.8,-0.7352,-0.7352,-0.7352,42.4451,42.4451,42.4451,-0.27
1,11,17,10,23.31,24.89,1.58,14.71,-0.7378,-0.7378,-0.7378,42.2528,42.2528,42.2528,-0.27
1,11,18,10,23.32,24.88,1.56,14.64,-0.7312,-0.7312,-0.7312,41.8848,41.8848,41.8848,-0.28
1,11,19,10,23.33,24.87,1.54,14.58,-0.7235,-0.7235,-0.7235,41.517,41.517,41.517,-0.28
1,11,20,10,23.33,24.86,1.53,14.51,-0.7238,-0.7238,-0.7238,41.3254,41.3254,41.3254,-0.28
1,11,21,10,23.34,24.85,1.51,14.43,-0.7183,-0.7183,-0.7183,40.9581,40.9581,40.9581,-0.28
1,11,22,10,23.34,24.84,1.5,14.38,-0.7163,-0.7163,-0.7163,40.7668,40.7668,40.7668,-0.28
1,11,23,10,23.35,24.82,1.47,14.31,-0.7021,-0.7021,-0.7021,40.2091,40.2091,40.2091,-0.29
1,11,24,10,23.35,24.81,1.46,14.24,-0.7023,-0.7023,-0.7023,40.0182,40.0182,40.0182,-0.29
1,11,25,10,23.36,24.8,1.44,14.19,-0.6934,-0.6934,-0.6934,39.6522,39.6522,39.6522,-0.29
1,11,26,10,23.36,24.79,1.43,14.13,-0.6925,-0.6925,-0.6925,39.4617,39.4617,39.4617,-0.3
1,11,27,10,23.36,24.78,1.42,14.07,-0.6916,-0.6916,-0.6916,39.2714,39.2714,39.2714,-0.3
1,11,28,10,23.37,24.77,1.4,14.01,-0.6837,-0.6837,-0.6837,38.906,38.906,38.906,-0.3
1,11,29,10,23.37,24.75,1.38,13.96,-0.6741,-0.6741,-0.6741,38.5262,38.5262,38.5262,-0.3
1,11,30,10,23.37,24.74,1.37,13.91,-0.672,-0.672,-0.672,38.3365,38.3365,38.3365,-0.31
1,11,31,10,23.38,24.73,1.35,13.86,-0.663,-0.663,-0.663,37.9721,37.9721,37.9721,-0.31
1,11,32,10,23.38,24.72,1.34,13.82,-0.6598,-0.6598,-0.6598,37.7828,37.7828,37.7828,-0.31
1,11,33,10,23.38,24.7,1.32,13.77,-0.6502,-0.6502,-0.6502,37.4045,37.4045,37.4045,-0.31
1,11,34,10,23.38,24.69,1.31,13.71,-0.6492,-0.6492,-0.6492,37.2156,37.2156,37.2156,-0.31
1,11,35,10,23.38,24.68,1.3,13.68,-0.6449,-0.6449,-0.6449,37.0268,37.0268,37.0268,-0.31
1,11,36,10,23.38,24.67,1.29,13.63,-0.6428,-0.6428,-0.6428,36.8382,36.8382,36.8382,-0.31
1,11,37,10,23.38,24.65,1.27,13.59,-0.6321,-0.6321,-0.6321,36.4613,36.4613,36.4613,-0.32
1,11,38,10,23.38,24.64,1.26,13.56,-0.6278,-0.6278,-0.6278,36.2731,36.2731,36.2731,-0.32
1,11,39,10,23.38,24.63,1.25,13.52,-0.6246,-0.6246,-0.6246,36.0851,36.0851,36.0851,-0.32
1,11,40,10,23.38,24.62,1.24,13.49,-0.6203,-0.6203,-0.6203,35.8971,35.8971,35.8971,-0.32
1,11,41,10,23.38,24.6,1.22,13.44,-0.6107,-0.6107,-0.6107,35.5217,35.5217,35.5217,-0.32
1,11,42,10,23.37,24.59,1.22,13.41,-0.6133,-0.6133,-0.6133,35.5081,35.5081,35.5081,-0.32
1,11,43,10,23.37,24.58,1.21,13.35,-0.6121,-0.6121,-0.6121,35.3206,35.3206,35.3206,-0.32
1,11,44,10,23.37,24.57,1.2,13.3,-0.6099,-0.6099,-0.6099,35.1333,35.1333,35.1333,-0.32
1,11,45,10,23.37,24.55,1.18,13.23,-0.6023,-0.6023,-0.6023,34.7592,34.7592,34.7592,-0.33
1,11,46,10,23.36,24.54,1.18,13.17,-0.6081,-0.6081,-0.6081,34.7458,34.7458,34.7458,-0.33
1,11,47,10,23.36,24.53,1.17,13.12,-0.6058,-0.6058,-0.6058,34.559,34.559,34.559,-0.33
1,11,48,10,23.36,24.51,1.15,13.08,-0.5951,-0.5951,-0.5951,34.1859,34.1859,34.1859,-0.33
1,11,49,10,23.35,24.5,1.15,13.03,-0.5998,-0.5998,-0.5998,34.1727,34.1727,34.1727,-0.33
1,11,50,10,23.35,24.49,1.14,12.99,-0.5965,-0.5965,-0.5965,33.9864,33.9864,33.9864,-0.33
1,11,51,10,23.34,24.47,1.13,12.96,-0.5916,-0.5916,-0.5916,33.7873,33.7873,33.7873,-0.33
1,11,52,10,23.34,24.46,1.12,12.92,-0.5883,-0.5883,-0.5883,33.6013,33.6013,33.6013,-0.34
1,11,53,10,23.33,24.45,1.12,12.86,-0.594,-0.594,-0.594,33.5884,33.5884,33.5884,-0.34
